title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
As It Was,Harry Styles,pop,2022,2022‑05‑11,174,73,52,-5,31,66,167,34,6,100
Ghost,Justin Bieber,canadian pop,2021,2022‑05‑11,154,74,60,-6,42,44,153,19,5,88
With you,Jimin,k-pop,2022,2022‑05‑11,150,43,53,-6,13,14,202,64,3,87
STAY (with Justin Bieber),The Kid LAROI,australian hip hop,2021,2022‑05‑11,170,76,59,-5,10,48,142,4,5,87
Butter,บีทีเอส,k-pop,2021,2022‑05‑11,110,46,76,-5,9,70,164,0,9,85
LOVE DIVE,IVE,k-pop,2022,2022‑05‑11,118,71,70,-4,33,54,177,0,4,85
That That (prod. & feat. SUGA of BTS),PSY,k-pop,2022,2022‑05‑11,130,96,91,-3,3,91,175,3,9,84
DARARI,TREASURE,k-pop,2022,2022‑05‑11,85,64,72,-7,7,55,221,49,4,82
Every Summertime,NIKI,indonesian r&b,2021,2022‑05‑11,79,68,63,-4,10,72,216,39,4,81
Feel My Rhythm,Red Velvet,k-pop,2022,2022‑05‑11,158,94,41,-2,36,42,210,6,22,80
Angel Baby,Troye Sivan,australian pop,2021,2022‑05‑11,72,56,56,-6,14,34,221,1,4,79
double take,dhruv,chill r&b,2022,2022‑05‑11,109,44,66,-11,22,20,172,85,7,79
PS5 (with TOMORROW X TOGETHER & Alan Walker),salem ilese,alt z,2022,2022‑05‑11,176,64,60,-5,7,54,152,1,21,78
Die For You,The Weeknd,canadian contemporary r&b,2016,2022‑05‑11,134,53,59,-7,13,51,260,11,6,76
FEARLESS,LE SSERAFIM,k-pop,2022,2022‑05‑11,104,62,86,-7,13,43,168,5,14,75
ถ้าเราเจอกันอีก (Until Then),Tilly Birds,thai indie rock,2021,2022‑05‑11,76,51,48,-6,16,31,288,50,3,65
ฉบับปรับปรุง,ZENTYARB,thai pop,2021,2022‑05‑11,166,69,55,-7,11,42,245,20,12,63
ถ้าเธอ feat. Violette Wautier,แสตมป์,thai pop,2022,2022‑05‑11,85,45,64,-8,13,46,200,81,3,63
พิง - เพลงประกอบละคร กระเช้าสีดา,NONT TANONT,thai pop,2021,2022‑05‑11,132,53,61,-8,11,46,243,39,3,63
The Weekend - MILLI Remix,88rising,asian american hip hop,2022,2022‑05‑11,101,54,80,-6,8,88,169,11,3,63
ต่อจากนี้เพลงรักทุกเพลงจะเป็นของเธอเท่านั้น,โน วัน เอลส์,,2021,2022‑05‑11,170,64,50,-6,21,49,255,22,4,62
Lavender,Patrickananda,,2021,2022‑05‑11,128,46,60,-6,20,47,253,37,3,62
เสแสร้ง (Pretend),Paper Planes,fake,2022,2022‑05‑11,160,87,55,-5,49,47,223,0,4,61
บานปลาย (best wishes),BOWKYLION,thai indie pop,2021,2022‑05‑11,176,66,58,-7,8,55,290,57,4,61
คนไกล,Patrickananda,,2020,2022‑05‑11,140,19,64,-12,32,55,213,78,4,61
17 นาที,MILLI,thai hip hop,2022,2022‑05‑11,118,42,95,-8,9,70,216,11,16,61
